name,elo,hard,clay,grass
Angel Guerrero Melgar,1484.0,1484.0,1500.0,1500.0
Angelo Binaghi,1484.0,1484.0,1500.0,1500.0
Antoine Bellier,1484.0,1484.0,1500.0,1500.0
Antoine Escoffier,1484.0,1484.0,1500.0,1500.0
Antoine Ghibaudo,1484.0,1484.0,1500.0,1500.0
Antoine Hoang,1484.0,1484.0,1500.0,1500.0
Antoine Walch,1484.0,1484.0,1500.0,1500.0
Anton Matusevich,1484.0,1484.0,1500.0,1500.0
Antonio Caruso,1484.0,1484.0,1500.0,1500.0
Arthur Bouquier,1484.0,1484.0,1500.0,1500.0
Arthur Cazaux,1543.317,1554.71,1500.466,1550.859
Arthur Fery,1495.697,1483.187,1500.0,1527.48
Arthur Gea,1511.512,1484.0,1526.299,1500.0
Arthur Rinderknech,1547.093,1550.48,1494.57,1573.496
Arthur Weber,1484.0,1484.0,1500.0,1500.0
Aslan Karatsev,1497.676,1494.719,1516.153,1489.506
Atsuki Kato,1484.0,1484.0,1500.0,1500.0
August Holmgren,1484.0,1484.0,1500.0,1500.0
Augusto Virgili,1484.0,1484.0,1500.0,1500.0
Aurel Ciocanu,1484.0,1484.0,1500.0,1500.0
Ayush Sharma,1484.0,1484.0,1500.0,1500.0
Aziz Dougaz,1494.034,1494.785,1500.0,1488.127
Bai Yan,1484.0,1484.0,1500.0,1500.0
Benjamin Bonzi,1554.618,1552.375,1513.637,1577.388
Benjamin Hassan,1500.995,1515.606,1486.827,1500.0
Benjamin Lock,1484.0,1484.0,1500.0,1500.0
Bernabe Zapata Miralles,1487.562,1500.0,1483.438,1500.0
Billy Harris,1513.842,1501.297,1484.0,1551.717
Blaise Bicknell,1484.0,1484.0,1500.0,1500.0
Borna Coric,1520.711,1538.584,1484.643,1500.0
Borna Gojo,1484.0,1484.0,1500.0,1500.0
Brandon Holt,1484.0,1484.0,1500.0,1500.0
Brandon Nakashima,1595.88,1602.986,1540.826,1595.463
Branko Djuric,1484.0,1484.0,1500.0,1500.0
Brayden Schnur,1484.0,1484.0,1500.0,1500.0
Bu Yunchaokete,1561.239,1594.846,1507.109,1500.0
Buzaid Al-Mubarak,1484.0,1484.0,1500.0,1500.0
Calin Manda,1484.0,1484.0,1500.0,1500.0
Calum Puttergill,1484.0,1484.0,1500.0,1500.0
Camilo Ugo Carabelli,1561.634,1500.0,1605.92,1500.0
Cameron Norrie,1562.75,1551.115,1572.394,1577.791
Carlos Alcaraz,1743.69,1721.335,1776.551,1742.466
Carlos Sanchez Jover,1484.0,1484.0,1500.0,1500.0
Casper Ruud,1631.226,1592.614,1679.491,1609.547
Cedrik-Marcel Stebe,1484.0,1484.0,1500.0,1500.0
Charles Broom,1484.0,1484.0,1500.0,1500.0
Chak Lam Coleman Wong,1518.108,1536.799,1484.0,1500.0
Chun Hsin Tseng,1512.619,1500.0,1521.579,1500.0
Clement Chidekh,1484.0,1484.0,1500.0,1500.0
Coleman Wong,1484.0,1484.0,1500.0,1500.0
Constant Lestienne,1470.87,1467.502,1484.0,1500.0
Corentin Moutet,1543.948,1505.114,1586.368,1500.0
Cristian Garin,1512.608,1484.0,1540.005,1500.0
Cristian Jianu,1484.0,1484.0,1500.0,1500.0
Dali Blanch,1484.0,1484.0,1500.0,1500.0
Daniil Medvedev,1647.847,1686.227,1537.823,1614.338
Daniel Altmaier,1561.986,1514.544,1618.891,1500.0
Daniel Elahi Galan,1508.818,1492.554,1533.228,1500.0
Daniel Evans,1490.209,1500.0,1484.0,1500.0
Daniel Rincon,1484.0,1484.0,1500.0,1500.0
Daniel Vallejo,1484.0,1484.0,1500.0,1500.0
Dane Sweeny,1484.0,1484.0,1500.0,1500.0
Daniil Glinka,1484.0,1484.0,1500.0,1500.0
Daniil Ostapenkov,1484.0,1484.0,1500.0,1500.0
Daniil Savelev,1484.0,1484.0,1500.0,1500.0
Darwin Blanch,1497.366,1484.0,1516.811,1500.0
David Goffin,1527.303,1547.921,1484.0,1545.619
David Jorda Sanchis,1484.0,1484.0,1500.0,1500.0
David Pel,1484.0,1484.0,1500.0,1500.0
David Pichler,1484.0,1484.0,1500.0,1500.0
David Poljak,1484.0,1484.0,1500.0,1500.0
David Popko,1484.0,1484.0,1500.0,1500.0
Davidovich Fokina,1484.0,1484.0,1500.0,1500.0
Denis Shapovalov,1555.356,1583.217,1484.0,1555.699
Dennis Novak,1484.0,1484.0,1500.0,1500.0
Dmitry Popko,1501.465,1484.0,1527.752,1500.0
Dominic Stricker,1484.0,1484.0,1500.0,1500.0
Dominik Koepfer,1518.744,1500.0,1531.148,1500.0
Dusan Lajovic,1532.41,1500.0,1569.728,1500.0
Edas Butvilas,1484.0,1484.0,1500.0,1500.0
Edouard Roger-Vasselin,1484.0,1484.0,1500.0,1500.0
Egor Agafonov,1484.0,1484.0,1500.0,1500.0
Egor Gerasimov,1484.0,1484.0,1500.0,1500.0
Egor Noskin,1484.0,1484.0,1500.0,1500.0
Elias Ymer,1484.0,1484.0,1500.0,1500.0
Emilio Nava,1494.679,1484.0,1512.629,1500.0
Emilio Sanchez,1484.0,1484.0,1500.0,1500.0
Emil Ruusuvuori,1484.564,1497.444,1484.0,1500.0
Enrico Dalla Valle,1484.0,1484.0,1500.0,1500.0
Enzo Couacaud,1484.0,1484.0,1500.0,1500.0
Ergi Kirkin,1484.0,1484.0,1500.0,1500.0
Ernesto Escobedo,1484.0,1484.0,1500.0,1500.0
Ethan Quinn,1523.034,1555.141,1484.0,1500.0
Fabian Marozsan,1565.857,1577.94,1550.234,1549.348
Federico Agustin Gomez,1503.905,1500.0,1506.041,1500.0
Federico Coria,1513.539,1484.0,1541.226,1500.0
Federico Cina,1484.0,1484.0,1500.0,1500.0
Felix Auger Aliassime,1606.653,1634.912,1520.984,1575.136
Felix Gill,1484.0,1484.0,1500.0,1500.0
Flavio Cobolli,1573.46,1571.535,1587.026,1545.984
Frances Tiafoe,1579.101,1600.053,1527.96,1551.651
Francesco Maestrelli,1484.0,1484.0,1500.0,1500.0
Francesco Passaro,1511.115,1484.0,1534.564,1500.0
Francesco Potenza,1484.0,1484.0,1500.0,1500.0
Francisco Cerundolo,1594.717,1561.192,1634.943,1500.0
Francisco Comesana,1555.479,1500.0,1591.472,1500.0
Franco Agamenone,1484.0,1484.0,1500.0,1500.0
Frederico Ferreira Silva,1484.0,1484.0,1500.0,1500.0
Gabriel Diallo,1559.489,1575.45,1500.0,1550.889
Gabriel Debru,1484.0,1484.0,1500.0,1500.0
Gabriel Roveri Sidney,1484.0,1484.0,1500.0,1500.0
Gael Monfils,1552.96,1572.938,1504.948,1531.046
Geoffrey Blancaneaux,1484.0,1484.0,1500.0,1500.0
Georgii Kravchenko,1484.0,1484.0,1500.0,1500.0
Giovanni Fonio,1484.0,1484.0,1500.0,1500.0
Giovanni Mpetshi Perricard,1590.113,1607.634,1484.0,1606.705
Goncalo Oliveira,1484.0,1484.0,1500.0,1500.0
Grigor Dimitrov,1592.978,1609.122,1531.637,1587.593
Gustavo Heide,1508.585,1484.0,1530.786,1500.0
Hamish Stewart,1484.0,1484.0,1500.0,1500.0
Hamad Medjedovic,1542.45,1548.71,1523.593,1500.0
Hugo Dellien,1501.482,1484.0,1523.273,1500.0
Hugo Gaston,1497.41,1484.0,1517.828,1500.0
Hugo Grenier,1484.0,1484.0,1500.0,1500.0
Hugo Nys,1484.0,1484.0,1500.0,1500.0
Hugo Ugo Carabelli,1484.0,1484.0,1500.0,1500.0
Ilya Ivashka,1484.0,1484.0,1500.0,1500.0
Illya Marchenko,1484.0,1484.0,1500.0,1500.0
Ilya Snitari,1484.0,1484.0,1500.0,1500.0
Imran Sibille,1484.0,1484.0,1500.0,1500.0
Inaki Montes De La Torre,1484.0,1484.0,1500.0,1500.0
Ishai Oliel,1484.0,1484.0,1500.0,1500.0
Ivan Gakhov,1493.807,1484.0,1513.882,1500.0
Ivan Ivanov,1484.0,1484.0,1500.0,1500.0
Ivan Nedelko,1484.0,1484.0,1500.0,1500.0
Jaden Weekes,1484.0,1484.0,1500.0,1500.0
Jaime Faria,1535.116,1542.073,1516.619,1500.0
Jakub Mensik,1597.627,1619.988,1545.836,1562.719
James Duckworth,1538.026,1549.969,1484.0,1555.533
James Kent Trotter,1484.0,1484.0,1500.0,1500.0
Jan Choinski,1484.0,1484.0,1500.0,1500.0
Jan Lennard Struff,1537.998,1532.332,1538.277,1556.676
Jan Zielinski,1484.0,1484.0,1500.0,1500.0
Jannik Sinner,1764.917,1791.218,1694.059,1727.31
Jason Kubler,1484.0,1484.0,1500.0,1500.0
Jay Clarke,1484.0,1484.0,1500.0,1500.0
Jean Thirouin,1484.0,1484.0,1500.0,1500.0
Jenson Brooksby,1490.701,1499.551,1500.0,1484.0
Jerome Kym,1508.173,1516.554,1492.435,1500.0
Jesper De Jong,1529.945,1516.158,1550.4,1500.0
Jiri Lehecka,1586.033,1607.976,1532.886,1563.731
Jiri Vesely,1484.0,1484.0,1500.0,1500.0
Joao Fonseca,1585.369,1591.477,1581.664,1500.0
Joao Lucas Reis Da Silva,1484.0,1484.0,1500.0,1500.0
Joao Sousa,1484.0,1484.0,1500.0,1500.0
Joel Schwaerzler,1484.0,1484.0,1500.0,1500.0
Johannus Monday,1484.0,1484.0,1500.0,1500.0
John Millman,1484.0,1484.0,1500.0,1500.0
Jordan Thompson,1580.73,1591.866,1518.559,1594.234
Jozef Kovalik,1484.0,1484.0,1500.0,1500.0
Juan Bautista Torres,1484.0,1484.0,1500.0,1500.0
Juan Manuel Cerundolo,1507.75,1484.0,1532.288,1500.0
Juan Pablo Ficovich,1484.0,1484.0,1500.0,1500.0
Jurij Rodionov,1484.0,1484.0,1500.0,1500.0
Karen Khachanov,1600.657,1614.024,1578.66,1589.281
Kamil Majchrzak,1549.372,1561.777,1511.518,1551.718
Karim Bennani,1484.0,1484.0,1500.0,1500.0
Karue Sell,1484.0,1484.0,1500.0,1500.0
Kei Nishikori,1543.228,1557.153,1510.678,1514.08
Kilian Feldbausch,1484.0,1484.0,1500.0,1500.0
Kimmer Coppejans,1484.0,1484.0,1500.0,1500.0
Liam Draxl,1484.0,1484.0,1500.0,1500.0
Liam Puttergill,1484.0,1484.0,1500.0,1500.0
Lloyd Harris,1499.144,1504.915,1484.0,1500.0
Lorenzo Musetti,1634.941,1605.16,1664.437,1627.102
Lorenzo Sonego,1567.945,1570.83,1547.966,1580.371
Luca Nardi,1546.201,1547.097,1550.987,1500.0
Luciano Darderi,1574.307,1516.247,1635.118,1500.0
Mackenzie McDonald,1515.136,1542.016,1484.0,1492.822
Malek Jaziri,1484.0,1484.0,1500.0,1500.0
Marcos Giron,1552.224,1579.194,1484.0,1545.106
Mariano Navone,1538.773,1484.0,1581.934,1500.0
Marin Cilic,1538.189,1553.206,1484.0,1549.541
Marin Draganja,1484.0,1484.0,1500.0,1500.0
Mario Vilella Martinez,1484.0,1484.0,1500.0,1500.0
Marton Fucsovics,1542.438,1550.484,1510.847,1541.486
Matteo Arnaldi,1562.17,1579.359,1546.185,1527.763
Matteo Berrettini,1592.093,1581.406,1540.699,1650.699
Mattia Bellucci,1537.2,1555.316,1484.0,1535.628
Max Purcell,1484.0,1484.0,1500.0,1500.0
Miomir Kecmanovic,1564.481,1583.539,1537.334,1537.32
Moez Echargui,1484.0,1484.0,1500.0,1500.0
Murkel Dellien,1484.0,1484.0,1500.0,1500.0
Nicolas Jarry,1530.244,1538.157,1537.097,1500.0
Nicolas Mejia,1484.0,1484.0,1500.0,1500.0
Nicolas Moreno De Alboran,1505.921,1505.634,1508.938,1500.0
Nikoloz Basilashvili,1484.0,1484.0,1500.0,1500.0
Nishesh Basavareddy,1536.296,1562.237,1484.0,1500.0
Novak Djokovic,1695.59,1711.211,1632.93,1698.599
Omar Jasika,1484.0,1484.0,1500.0,1500.0
Otto Virtanen,1499.123,1515.675,1484.0,1500.0
Pablo Carreno Busta,1543.791,1541.753,1549.667,1500.0
Pablo Cuevas,1484.0,1484.0,1500.0,1500.0
Pablo Llamas Ruiz,1484.0,1484.0,1500.0,1500.0
Pedro Martinez,1569.178,1541.577,1600.61,1500.0
Pedro Sakamoto,1484.0,1484.0,1500.0,1500.0
Quentin Halys,1544.444,1561.53,1513.233,1535.987
Rafael Nadal,1484.0,1484.0,1500.0,1500.0
Rafael Jodar,1484.0,1484.0,1500.0,1500.0
Reilly Opelka,1563.822,1598.22,1484.0,1500.0
Rinky Hijikata,1536.18,1552.391,1484.0,1540.292
Roberto Bautista Agut,1529.052,1548.806,1505.712,1506.975
Roberto Carballes Baena,1531.897,1484.0,1578.795,1500.0
Roman Safiullin,1536.934,1559.458,1505.248,1500.0
Sebastian Baez,1556.344,1484.0,1605.305,1500.0
Sebastian Korda,1568.84,1589.835,1506.11,1556.908
Shang Juncheng,1530.485,1555.861,1484.0,1500.0
Stefanos Tsitsipas,1581.687,1579.227,1600.703,1551.797
Tallon Griekspoor,1583.454,1605.256,1522.267,1576.254
Taylor Fritz,1638.66,1666.398,1550.796,1610.854
Thiago Monteiro,1497.053,1484.0,1516.03,1500.0
Thiago Seyboth Wild,1538.89,1500.0,1567.232,1500.0
Tommy Paul,1622.372,1647.235,1567.667,1590.93
Ugo Humbert,1581.349,1613.634,1484.0,1571.041
Valentin Vacherot,1484.0,1484.0,1500.0,1500.0
Yannick Hanfmann,1537.765,1500.0,1573.095,1500.0
Yoshihito Nishioka,1538.98,1577.962,1484.0,1500.0
Zhizhen Zhang,1538.055,1555.129,1500.0,1514.807
